id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
fn-015,A2,vocab,dates,mcq,"Which day is ""Isnin""?","Monday",true,"Correct — the Malay week starts with Isnin (Monday).","Sunday",false,"Sunday is 'Ahad'.","Tuesday",false,"Tuesday is 'Selasa'.","Friday",false,"Friday is 'Jumaat'.",,"Days: Isnin, Selasa, Rabu, Khamis, Jumaat, Sabtu, Ahad.",calendar,dates
fn-016,A2,vocab,dates,mcq,"What does ""Ahad"" mean?","Sunday",true,"Correct — 'Ahad' is Sunday.","Saturday",false,"Saturday is 'Sabtu'.","Wednesday",false,"Wednesday is 'Rabu'.","Thursday",false,"Thursday is 'Khamis'.",,"'Ahad' = Sunday; 'Sabtu' = Saturday.",calendar,dates
fn-017,A2,vocab,dates,mcq,"Which month is ""Mac""?","March",true,"Correct — 'Mac' is March in Malay.","May",false,"May is 'Mei'.","August",false,"August is 'Ogos'.","June",false,"June is 'Jun'.",,"Watch the short forms: Mac (March), Mei (May), Jun (June), Julai (July), Ogos (August).",calendar,dates
fn-018,A2,vocab,dates,mcq,"What does ""esok"" mean?","tomorrow",true,"Correct — 'esok' is tomorrow.","yesterday",false,"Yesterday is 'semalam'.","today",false,"Today is 'hari ini'.","the day after tomorrow",false,"That is 'lusa'.",,"'Semalam' yesterday, 'hari ini' today, 'esok' tomorrow, 'lusa' the day after.",calendar,dates
fn-019,A2,vocab,dates,mcq,"What does ""lusa"" mean?","the day after tomorrow",true,"Correct — 'lusa' is two days from now.","yesterday",false,"Yesterday is 'semalam'.","tomorrow",false,"Tomorrow is 'esok'.","last week",false,"Last week is 'minggu lepas'.",,"'Lusa' = the day after tomorrow.",calendar,dates
fn-020,A2,vocab,dates,mcq,"What does ""semalam"" mean?","yesterday",true,"Correct — 'semalam' means yesterday.","tonight",false,"Tonight is 'malam ini'.","tomorrow",false,"Tomorrow is 'esok'.","this morning",false,"This morning is 'pagi tadi'.",,"'Semalam' = yesterday.",calendar,dates
fn-021,A2,translation,dates,text,"Translate to Malay: 'Today is Wednesday.'",,,,,,,,,,,,,"hari ini hari rabu|hari ini rabu","'Hari ini hari Rabu' — the day name follows 'hari ini'.",calendar,dates
fn-022,A2,translation,dates,text,"Translate to Malay: 'What is the date today?'",,,,,,,,,,,,,"hari ini tarikh berapa|tarikh berapa hari ini|hari ini tarikh berapa?","'Hari ini tarikh berapa?' asks for the date.",calendar,dates
fn-023,A2,grammar,dates,mcq,"How do you read the date '5 Disember' in Malay?","lima haribulan Disember",true,"Correct — day number + 'haribulan' + month is standard.","Disember lima",false,"In Malay the day comes before the month.","lima Disember haribulan",false,"'Haribulan' goes before the month name.","setengah Disember",false,"'Setengah' is for half, not dates.",,"Read dates as 'lima haribulan Disember' (the 5th of December).",calendar,dates
fn-024,A2,vocab,dates,mcq,"Which month is ""Ogos""?","August",true,"Correct — 'Ogos' is August.","October",false,"October is 'Oktober'.","April",false,"April is 'April'.","July",false,"July is 'Julai'.",,"'Ogos' = August.",calendar,dates
fn-025,A2,grammar,dates,word_order,"Arrange into a sentence: 'esok / hari / Jumaat' (Tomorrow is Friday.)",,,,,,,,,,,,,"esok hari jumaat","'Esok hari Jumaat' — time word first, then 'hari' + day name.",calendar,dates
fn-026,A2,grammar,dates,mcq,"A friend asks ""Hari ini hari apa?"" Today is Saturday. Best reply:","Hari ini hari Sabtu.",true,"Correct — answer with 'hari' + the day name.","Hari ini Ogos.",false,"'Ogos' is a month, not a day.","Hari ini lusa.",false,"'Lusa' is a relative day, not an answer to 'what day'.","Sabtu hari ini bukan.",false,"Word order is jumbled and adds an unneeded negation.",,"Reply to 'Hari ini hari apa?' with 'Hari ini hari Sabtu.'",calendar,dates
fn-027,A2,vocab,dates,mcq,"What does ""minggu"" mean?","week",true,"Correct — 'minggu' means week (also 'Minggu' = Sunday in some usage).","month",false,"Month is 'bulan'.","year",false,"Year is 'tahun'.","day",false,"Day is 'hari'.",,"'Hari' day, 'minggu' week, 'bulan' month, 'tahun' year.",calendar,dates
fn-028,A2,translation,dates,text,"Translate to Malay: 'I will go yesterday' is wrong. Write the corrected Malay sentence for 'I went yesterday.'",,,,,,,,,,,,,"saya pergi semalam","'Semalam' refers to the past, so 'Saya pergi semalam.'",calendar,dates
fn-029,A2,grammar,dates,fill_blank,"Fill the blank: 'Mesyuarat itu pada hari ___, 12 haribulan Mei.' (the meeting is on Thursday)",,,,,,,,,,,,,"khamis","'Khamis' is Thursday; days follow 'hari'.",calendar,dates
fn-030,A2,vocab,money-shopping,mcq,"What is the smaller unit of Malaysian currency below the ringgit?","sen",true,"Correct — 100 sen make 1 ringgit.","duit",false,"'Duit' is the general word for money, not a unit.","wang",false,"'Wang' means money in general.","harga",false,"'Harga' means price.",,"Malaysian currency: ringgit and sen (100 sen = 1 ringgit).",money,money
fn-031,A2,vocab,money-shopping,mcq,"How do you ask 'How much does this cost?'","Berapa harga ini?",true,"Correct — 'berapa harga' asks the price.","Apa harga ini?",false,"Use 'berapa' (how much), not 'apa' (what), for price.","Bila harga ini?",false,"'Bila' means when.","Mana harga ini?",false,"'Mana' means where.",,"'Berapa harga ini?' = How much is this?",money,money
fn-032,A2,vocab,money-shopping,mcq,"What does ""mahal"" mean?","expensive",true,"Correct — 'mahal' = expensive.","cheap",false,"Cheap is 'murah'.","free",false,"Free is 'percuma'.","broken",false,"Broken is 'rosak'.",,"'Mahal' expensive, 'murah' cheap.",money,money
fn-033,A2,vocab,money-shopping,mcq,"At a market you want a discount. What do you say?","Boleh kurang?",true,"Correct — 'Boleh kurang?' asks if the price can be lowered.","Boleh tambah?",false,"'Tambah' means add, raising the price.","Boleh bungkus?",false,"'Bungkus' means wrap/takeaway, used for food.","Boleh pesan?",false,"'Pesan' means to order.",,"'Boleh kurang?' is the natural way to bargain.",money,money
fn-034,A2,vocab,money-shopping,mcq,"What does ""baki"" mean when paying?","change (money returned)",true,"Correct — 'baki' is the change you get back.","receipt",false,"Receipt is 'resit'.","price",false,"Price is 'harga'.","wallet",false,"Wallet is 'dompet'.",,"'Baki' = the change returned after paying.",money,money
fn-035,A2,translation,money-shopping,text,"Translate to Malay: 'This is too expensive.'",,,,,,,,,,,,,"ini terlalu mahal|ini mahal sangat|mahal sangat","'Terlalu' or 'sangat' intensifies: 'Ini terlalu mahal.'",money,money
fn-036,A2,translation,money-shopping,text,"Translate to Malay: 'I want to pay.'",,,,,,,,,,,,,"saya nak bayar|saya mahu bayar|saya hendak membayar","'Bayar' = to pay; 'Saya nak bayar.'",money,money
fn-037,A2,grammar,money-shopping,mcq,"A seller says ""Sepuluh ringgit."" You think it is too dear. Natural reply:","Mahal sangat. Boleh kurang sikit?",true,"Correct — comment it is expensive, then ask for a lower price.","Murah sangat. Boleh tambah?",false,"That asks for a higher price, the opposite of bargaining.","Baki berapa?",false,"'Baki' is about change; the price has not been agreed yet.","Saya nak bungkus.",false,"'Bungkus' is for takeaway food, irrelevant here.",,"To bargain: 'Mahal sangat. Boleh kurang sikit?'",money,money
fn-038,A2,vocab,money-shopping,mcq,"What does ""beli"" mean?","to buy",true,"Correct — 'beli' = buy.","to sell",false,"To sell is 'jual'.","to pay",false,"To pay is 'bayar'.","to count",false,"To count is 'kira'.",,"'Beli' buy, 'jual' sell, 'bayar' pay.",money,money
fn-039,A2,grammar,money-shopping,mcq,"How do you say 'two ringgit fifty sen'?","dua ringgit lima puluh sen",true,"Correct — ringgit amount, then sen amount.","lima puluh sen dua ringgit",false,"Ringgit should be stated before sen.","dua sen lima puluh ringgit",false,"Units are swapped, giving a wrong amount.","dua ringgit setengah",false,"'Setengah' is for time, not for stating sen.",,"State currency as 'dua ringgit lima puluh sen' (RM2.50).",money,money
fn-040,A2,grammar,money-shopping,fill_blank,"Fill the blank: 'Saya nak ___ baju ini.' (I want to buy this shirt.)",,,,,,,,,,,,,"beli|membeli","'Beli' = to buy: 'Saya nak beli baju ini.'",money,money
fn-041,A2,vocab,money-shopping,mcq,"A shopkeeper hands you money back and says ""Ini baki encik."" What happened?","You are being given your change.",true,"Correct — 'baki' is the change being returned to you.","You are being charged extra.",false,"Extra charge would not be called 'baki'.","The item is sold out.",false,"'Baki' does not mean sold out.","You need to pay more.",false,"'Baki' is money returned, not owed.",,"'Ini baki encik' = 'Here is your change, sir.'",money,money
fn-042,A2,translation,money-shopping,text,"Translate to Malay: 'How much is the total?'",,,,,,,,,,,,,"berapa semua|berapa harga semua|jumlah berapa|berapa jumlahnya","'Berapa semua?' or 'Berapa jumlahnya?' asks the total.",money,money
fn-043,A2,grammar,money-shopping,word_order,"Arrange into a sentence: 'baju / ini / berapa / harga' (How much is this shirt?)",,,,,,,,,,,,,"berapa harga baju ini","'Berapa harga baju ini?' — 'berapa harga' then the item.",money,money
fn-044,A2,vocab,ordering-food,mcq,"What does ""pesan"" mean in a restaurant?","to order",true,"Correct — 'pesan' = to place an order.","to pay",false,"To pay is 'bayar'.","to cook",false,"To cook is 'masak'.","to wait",false,"To wait is 'tunggu'.",,"'Pesan' = to order food/drink.",food-ordering,food
fn-045,A2,vocab,ordering-food,mcq,"You want your food not spicy. What do you ask for?","kurang pedas",true,"Correct — 'kurang pedas' means less spicy.","tambah pedas",false,"'Tambah pedas' means more spicy.","pedas sangat",false,"That means very spicy.","tanpa gula",false,"'Tanpa gula' means without sugar, about drinks.",,"'Kurang pedas' = less spicy; 'tak pedas' = not spicy.",food-ordering,food
fn-046,A2,vocab,ordering-food,mcq,"What does ""bungkus"" mean when ordering food?","to take away / pack to go",true,"Correct — 'bungkus' means wrap it up for takeaway.","to eat in",false,"Eating in is 'makan sini'.","to share",false,"To share is 'kongsi'.","to reheat",false,"To reheat is 'panaskan'.",,"'Bungkus' = takeaway; 'makan sini' = dine in.",food-ordering,food
fn-047,A2,vocab,ordering-food,mcq,"What is ""air kosong""?","plain water",true,"Correct — 'air kosong' is plain (usually room-temperature) water.","hot tea",false,"Hot tea is 'teh panas'.","iced coffee",false,"Iced coffee is 'kopi ais'.","fruit juice",false,"Fruit juice is 'jus buah'.",,"'Air kosong' literally 'empty water' = plain water.",food-ordering,food
fn-048,A2,vocab,ordering-food,mcq,"You want a drink with no sugar. What do you say?","tanpa gula",true,"Correct — 'tanpa gula' means without sugar.","tanpa ais",false,"'Tanpa ais' means without ice.","kurang pedas",false,"That is about spiciness, not sugar.","air kosong",false,"That is plain water, not a sugar instruction.",,"'Tanpa gula' = without sugar; 'kurang manis' = less sweet.",food-ordering,food
fn-049,A2,vocab,ordering-food,mcq,"What does ""bil"" mean?","the bill / cheque",true,"Correct — 'bil' is the bill to pay.","the menu",false,"The menu is 'menu'.","the waiter",false,"The waiter is 'pelayan'.","the tip",false,"A tip is 'tip'.",,"'Bil' = the bill; ask 'Boleh minta bil?'",food-ordering,food
fn-050,A2,translation,ordering-food,text,"Translate to Malay: 'I want to order.'",,,,,,,,,,,,,"saya nak pesan|saya mahu pesan|saya hendak memesan","'Saya nak pesan.' uses 'pesan' (to order).",food-ordering,food
fn-051,A2,translation,ordering-food,text,"Translate to Malay: 'Can I have the bill?'",,,,,,,,,,,,,"boleh minta bil|boleh saya minta bil|minta bil|boleh minta bil?","'Boleh minta bil?' politely asks for the bill.",food-ordering,food
fn-052,A2,grammar,ordering-food,mcq,"A waiter asks ""Nak minum apa?"" Best natural reply:","Saya nak air kosong, tanpa ais.",true,"Correct — names a drink with a clear preference.","Saya nak bungkus bil.",false,"This mixes 'bungkus' and 'bil' nonsensically.","Kurang pedas, terima kasih.",false,"Spiciness does not apply to choosing a drink.","Pukul tiga petang.",false,"That is a time, not a drink order.",,"'Nak minum apa?' = 'What would you like to drink?' Answer with a drink.",food-ordering,food
fn-053,A2,grammar,ordering-food,mcq,"You finished eating and want to pay. What do you say to the waiter?","Boleh minta bil?",true,"Correct — 'Boleh minta bil?' asks for the bill.","Boleh minta menu?",false,"'Menu' is asked for before ordering, not after eating.","Nak bungkus menu.",false,"You cannot 'bungkus' a menu.","Saya nak pesan lagi.",false,"That means you want to order more, not pay.",,"Ask 'Boleh minta bil?' when ready to pay.",food-ordering,food
fn-054,A2,grammar,ordering-food,fill_blank,"Fill the blank: 'Tolong ___ nasi goreng ini, saya nak bawa balik.' (please pack)",,,,,,,,,,,,,"bungkus|bungkuskan","'Bungkus' = pack for takeaway: 'Tolong bungkus nasi goreng ini.'",food-ordering,food
fn-055,A2,grammar,ordering-food,word_order,"Arrange into a sentence: 'saya / pedas / nak / kurang / mi' (I want the noodles less spicy.)",,,,,,,,,,,,,"saya nak mi kurang pedas","'Saya nak mi kurang pedas.' — the dish then 'kurang pedas'.",food-ordering,food
fn-056,A2,translation,ordering-food,text,"Translate to Malay: 'One iced tea, please.' (use 'satu' and 'teh ais')",,,,,,,,,,,,,"satu teh ais|teh ais satu|tolong satu teh ais|satu teh ais tolong","'Satu teh ais' orders one iced tea; 'tolong' adds politeness.",food-ordering,food
fn-057,A2,grammar,ordering-food,mcq,"Which sentence is the natural way to ask for a menu?","Boleh saya lihat menu?",true,"Correct — politely asks to see the menu.","Boleh saya makan menu?",false,"You would not 'eat' the menu.","Menu boleh bil?",false,"This is jumbled and meaningless.","Saya nak bungkus menu?",false,"You cannot pack the menu for takeaway.",,"'Boleh saya lihat menu?' = 'May I see the menu?'",food-ordering,food
fn-058,A2,vocab,weather,mcq,"What does ""cuaca"" mean?","weather",true,"Correct — 'cuaca' is the weather.","season",false,"Season is 'musim'.","sky",false,"Sky is 'langit'.","cloud",false,"Cloud is 'awan'.",,"'Cuaca' = weather; 'musim' = season.",weather,weather
fn-059,A2,vocab,weather,mcq,"What does ""panas"" mean?","hot",true,"Correct — 'panas' = hot.","cold",false,"Cold is 'sejuk'.","rainy",false,"Rainy is 'hujan'.","windy",false,"Windy is 'berangin'.",,"'Panas' hot, 'sejuk' cold.",weather,weather
fn-060,A2,vocab,weather,mcq,"What does ""hujan"" mean?","rain",true,"Correct — 'hujan' = rain.","sun",false,"Sun is 'matahari'.","wind",false,"Wind is 'angin'.","fog",false,"Fog is 'kabus'.",,"'Hujan' = rain; 'hari hujan' = a rainy day.",weather,weather
fn-061,A2,vocab,weather,mcq,"What does ""mendung"" describe?","cloudy / overcast",true,"Correct — 'mendung' means the sky is cloudy and grey.","sunny",false,"Sunny is 'cerah' or 'panas'.","windy",false,"Windy is 'berangin'.","stormy",false,"Stormy is 'ribut'.",,"'Mendung' = overcast, often before rain.",weather,weather
fn-062,A2,vocab,weather,mcq,"What does ""cerah"" mean?","bright / clear (sunny)",true,"Correct — 'cerah' describes a clear, bright sky.","rainy",false,"Rainy is 'hujan'.","cloudy",false,"Cloudy is 'mendung'.","cold",false,"Cold is 'sejuk'.",,"'Cerah' = clear/bright weather.",weather,weather
fn-063,A2,vocab,weather,mcq,"What does ""ribut"" mean?","storm",true,"Correct — 'ribut' is a storm.","breeze",false,"A gentle breeze is 'bayu' or 'angin'.","drizzle",false,"Drizzle is 'hujan renyai'.","heat",false,"Heat is 'kepanasan'.",,"'Ribut' = storm; 'ribut petir' = thunderstorm.",weather,weather
fn-064,A2,vocab,weather,mcq,"What does ""angin"" mean?","wind",true,"Correct — 'angin' = wind.","cloud",false,"Cloud is 'awan'.","rain",false,"Rain is 'hujan'.","sun",false,"Sun is 'matahari'.",,"'Angin' wind; 'berangin' = windy.",weather,weather
fn-065,A2,translation,weather,text,"Translate to Malay: 'Today the weather is hot.'",,,,,,,,,,,,,"hari ini cuaca panas|cuaca hari ini panas|hari ini cuaca panas.","'Hari ini cuaca panas.' — time, then 'cuaca', then the description.",weather,weather
fn-066,A2,translation,weather,text,"Translate to Malay: 'It is raining now.'",,,,,,,,,,,,,"sekarang hujan|hujan sekarang|sekarang sedang hujan|hari hujan sekarang","'Sekarang hujan.' or 'Sekarang sedang hujan.' for ongoing rain.",weather,weather
fn-067,A2,grammar,weather,mcq,"A friend asks ""Macam mana cuaca hari ini?"" The sky is grey and rain looks near. Best reply:","Mendung, mungkin nak hujan.",true,"Correct — describes overcast sky and likely rain.","Cerah dan panas.",false,"That describes a bright sunny day, not a grey one.","Pukul lima petang.",false,"That is a time, not a weather description.","Boleh kurang sikit?",false,"That is a bargaining phrase, unrelated to weather.",,"'Macam mana cuaca?' asks about the weather; answer with conditions.",weather,weather
fn-068,A2,vocab,weather,mcq,"What is ""musim hujan""?","the rainy season",true,"Correct — 'musim hujan' is the monsoon/rainy season.","a single rainy day",false,"That would just be 'hari hujan'.","the dry season",false,"The dry season is 'musim kemarau'.","a rainstorm",false,"A rainstorm is 'ribut hujan'.",,"'Musim hujan' = rainy season; 'musim kemarau' = dry season.",weather,weather
fn-069,A2,grammar,weather,fill_blank,"Fill the blank: 'Bawa payung, hari ini ___.' (it is raining / rainy)",,,,,,,,,,,,,"hujan","'Hari ini hujan.' tells someone to bring an umbrella.",weather,weather
fn-070,A2,grammar,weather,mcq,"Which sentence correctly says 'It is very cold tonight'?","Malam ini sangat sejuk.",true,"Correct — 'sangat' intensifies 'sejuk' (cold).","Malam ini sangat panas.",false,"'Panas' is hot, the opposite of cold.","Malam ini sejuk hujan.",false,"Stringing 'sejuk hujan' without a link word is ungrammatical here.","Sejuk ini malam sangat.",false,"The word order is jumbled.",,"'Malam ini sangat sejuk.' — 'sangat' before the adjective.",weather,weather
fn-071,A2,grammar,weather,word_order,"Arrange into a sentence: 'cuaca / cerah / hari / ini' (The weather is clear today.)",,,,,,,,,,,,,"hari ini cuaca cerah|cuaca hari ini cerah","'Hari ini cuaca cerah.' places the time first.",weather,weather
