id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
b2-011,B2,grammar,register,mcq,"The colloquial word tak is the everyday form of which standard word?","tidak",true,"Correct - tak is the spoken short form of tidak.","tetapi",false,"The short form of tetapi is tapi.","tahu",false,"tahu means to know.","tentu",false,"tentu means certain.",,"tak is the colloquial form of tidak (not).",register-style,register
b2-012,B2,grammar,register,mcq,"In casual speech, nak is short for which standard word?","hendak",true,"Correct - nak is the spoken form of hendak (want to).","makan",false,"makan means to eat.","tidak",false,"The short form of tidak is tak.","boleh",false,"boleh means can.",,"nak is the colloquial form of hendak (to want).",register-style,register
b2-013,B2,grammar,register,mcq,"In a formal news report, which form should you write?","tidak",true,"Correct - formal writing uses the standard form tidak.","tak",false,"tak is colloquial, not for formal writing.","x",false,"x is a texting abbreviation.","dak",false,"dak is a dialect form.",,"Formal writing uses bahasa baku - the standard tidak, not tak.",register-style,register
b2-014,B2,grammar,register,mcq,"The colloquial saja or je is the everyday form of which word?","sahaja",true,"Correct - saja and je are spoken forms of sahaja (only).","saya",false,"saya means I.","sama",false,"sama means same.","soal",false,"soal means question or issue.",,"sahaja (only, just) becomes saja or je in speech.",register-style,register
b2-015,B2,grammar,particles,mcq,"The particle -kah marks...","a question",true,"Correct - -kah turns a word into a question, common in writing.","a command",false,"That is closer to -lah.","the past",false,"Malay has no tense.","a plural",false,"-kah does not mark number.",,"-kah marks a question: Betulkah? means Is that right?",particles,grammar
b2-016,B2,grammar,particles,mcq,"In Pergilah!, what does the -lah particle do?","it softens or emphasises the command",true,"Correct - -lah adds emphasis or a gentle nudge.","it makes the sentence past",false,"Malay has no tense.","it asks a question",false,"That is the -kah particle.","it negates the verb",false,"Negation uses tidak or jangan.",,"-lah softens or emphasises: Pergilah! means Do go.",particles,grammar
b2-017,B2,grammar,particles,mcq,"In Saya pun tahu, what does pun mean?","too / even",true,"Correct - pun adds the sense of too or even.","not",false,"not is tidak.","very",false,"very is sangat.","never",false,"never is tidak pernah.",,"pun means too or even: Saya pun tahu means I know too.",particles,grammar
b2-018,B2,grammar,particles,mcq,"In the word rumahnya, what does the -nya add?","the meaning his, its or the",true,"Correct - -nya works as a possessive or a definite marker.","the meaning my",false,"my is saya, placed after the noun.","a question",false,"a question would be the -kah particle.","a negative",false,"-nya does not negate.",,"-nya means his, its or the: rumahnya means his house or the house.",particles,grammar
b2-019,B2,affix,nominalisation,mcq,"Which noun correctly pairs the affix with its root and meaning?","pembangunan from bangun - development",true,"Correct - pe-...-an on bangun forms the process noun pembangunan.","kebangunan from bangun - a builder",false,"A builder is pembangun; ke-...-an would not mean builder.","perbangun from bangun - development",false,"perbangun is not a word; the form is pembangunan.","bangunan from bangun - the act of waking",false,"bangunan means a building, not the act of waking.",,"pe-...-an makes process nouns: pembangunan means development.",nominalisation,affix
b2-020,B2,affix,nominalisation,mcq,"Both kebersihan and pembersihan come from bersih. How do they differ?","kebersihan is the quality cleanliness; pembersihan is the process of cleaning",true,"Correct - ke-...-an gives an abstract quality, pe-...-an gives a process.","they mean exactly the same thing",false,"They are not interchangeable; one is a state, one is a process.","kebersihan is the process; pembersihan is the quality",false,"This reverses the two; ke-...-an is the quality.","both are verbs meaning to clean",false,"To clean is membersihkan; both words here are nouns.",,"ke-...-an = abstract quality (kebersihan, cleanliness); pe-...-an = process (pembersihan, cleansing).",nominalisation,affix
b2-021,B2,affix,nominalisation,mcq,"Which sentence uses the nominalised form correctly?","Kejayaan pasukan itu membanggakan kami.",true,"Correct - kejayaan (success) is the right ke-...-an noun and fits the subject slot.","Jaya pasukan itu membanggakan kami.",false,"jaya is the bare root; the noun success here should be kejayaan.","Penjayaan pasukan itu membanggakan kami.",false,"penjayaan is not the standard noun for success.","Berjaya pasukan itu membanggakan kami.",false,"berjaya is the verb to succeed, not the noun the sentence needs.",,"kejayaan is the abstract noun success, formed with ke-...-an from jaya.",nominalisation,affix
b2-022,B2,affix,nominalisation,mcq,"What does penyelesaian, from selesai, mean?","a solution / settlement",true,"Correct - pe-...-an on selesai gives penyelesaian, a solution or settlement.","finished",false,"finished is simply selesai.","to solve",false,"to solve is menyelesaikan.","a difficult problem",false,"a problem is masalah, not penyelesaian.",,"pe-...-an forms penyelesaian (a solution); the verb is menyelesaikan.",nominalisation,affix
b2-023,B2,affix,nominalisation,fill_blank,"Form the abstract noun for honesty from jujur using ke- and -an: ___ amat penting dalam perniagaan.",,,,,,,,,,,,,kejujuran,"jujur (honest) becomes kejujuran (honesty) with ke-...-an.",nominalisation,affix
b2-024,B2,affix,nominalisation,fill_blank,"Form the noun from latih (train) using the suffix -an: Program ___ pekerja baharu bermula esok.",,,,,,,,,,,,,latihan,"latih takes -an to form latihan (training); the new-staff training programme.",nominalisation,affix
b2-025,B2,affix,nominalisation,text,"Translate to Malay: Government corruption slows down a country's progress.",,,,,,,,,,,,,rasuah kerajaan melambatkan kemajuan sesebuah negara|rasuah kerajaan melambatkan kemajuan negara,"kemajuan (progress) is the ke-...-an noun from maju.",nominalisation,affix
b2-026,B2,affix,nominalisation,word_order,"Arrange: penting / pendidikan / untuk / sangat / masa / depan",,,,,,,,,,,,,pendidikan sangat penting untuk masa depan,"pendidikan (education) is the pe-...-an noun from didik; the sentence means education is very important for the future.",nominalisation,affix
b2-027,B2,affix,nominalisation,mcq,"Which word correctly means cleverness, the abstract noun from pandai?","kepandaian",true,"Correct - ke-...-an on pandai gives kepandaian, cleverness.","pemandaian",false,"pemandaian is not a standard word.","perpandaian",false,"perpandaian is not a standard word.","berpandai",false,"berpandai is not the noun; the noun is kepandaian.",,"ke-...-an turns the adjective pandai into the abstract noun kepandaian.",nominalisation,affix
b2-028,B2,grammar,passive-voice,mcq,"Which sentence is a correctly formed di- passive?","Jambatan itu dibina oleh kerajaan.",true,"Correct - dibina is the di- passive of membina, with oleh marking the agent.","Jambatan itu membina oleh kerajaan.",false,"membina is the active verb; a passive needs di-.","Jambatan itu dibina kerajaan oleh.",false,"oleh must come before the agent, not after it.","Kerajaan itu dibina oleh jambatan.",false,"The roles are reversed; this says the government was built by the bridge.",,"The di- passive: subject + di-verb + oleh + agent.",passive-voice,grammar
b2-029,B2,grammar,passive-voice,mcq,"Which sentence contains a mistake?","Surat itu ditulis oleh dia semalam dengan cepat sekali.",false,"This is fine; ditulis oleh dia is a correct di- passive.","Buku itu dibeli saya semalam.",true,"Mistake - with a pronoun agent, Malay uses the pronoun-fronted passive saya beli, not di- + bare pronoun.","Rumah itu dijual oleh mereka tahun lepas.",false,"This is correct; dijual oleh mereka is a proper di- passive.","Kuih itu dimakan oleh kucing.",false,"This is correct; dimakan oleh kucing is a proper di- passive.",,"With a pronoun agent the natural form is Buku itu saya beli, not Buku itu dibeli saya.",passive-voice,grammar
b2-030,B2,grammar,passive-voice,mcq,"Which passive best fits a neutral news report: The thief was arrested by the police?","Pencuri itu ditangkap oleh polis.",true,"Correct - the di- passive is the neutral, formal choice for reports.","Pencuri itu kena tangkap polis.",false,"kena gives an adversative, colloquial tone unsuitable for a neutral report.","Pencuri itu polis tangkap.",false,"Pronoun-fronted passive needs a pronoun; polis is a full noun, so this is wrong.","Pencuri itu menangkap polis.",false,"This is active and reverses the meaning - the thief arrested the police.",,"The di- passive is the neutral register; kena adds an adversative, informal colour.",passive-voice,grammar
b2-031,B2,grammar,passive-voice,mcq,"What is the difference between Dia dipukul and Dia kena pukul?","Both mean he was hit, but kena pukul adds an adversative, colloquial tone",true,"Correct - di- is neutral; kena highlights misfortune and is more colloquial.","dipukul is colloquial while kena pukul is formal",false,"It is the reverse; di- is the neutral or formal form.","dipukul means he hit someone",false,"dipukul is passive - he was hit, not he hit.","kena pukul means he will hit",false,"kena does not mark the future; it marks an adversative passive.",,"di- passive is neutral; kena passive stresses that something unpleasant befell the subject.",passive-voice,grammar
b2-032,B2,grammar,passive-voice,text,"Translate to Malay (use the di- passive): The letter was sent by the manager yesterday.",,,,,,,,,,,,,surat itu dihantar oleh pengurus semalam,"dihantar is the di- passive of menghantar; oleh marks the agent pengurus.",passive-voice,grammar
b2-033,B2,grammar,passive-voice,text,"Translate to Malay using the pronoun-fronted passive: That book, I have already read.",,,,,,,,,,,,,buku itu sudah saya baca|buku itu telah saya baca,"With a pronoun agent, the verb drops me-: buku itu saya baca.",passive-voice,grammar
b2-034,B2,grammar,passive-voice,fill_blank,"Complete with the di- passive of makan: Nasi itu sudah ___ oleh mereka.",,,,,,,,,,,,,dimakan,"dimakan is the di- passive of makan; the rice was already eaten by them.",passive-voice,grammar
b2-035,B2,grammar,passive-voice,word_order,"Arrange: oleh / itu / dibaiki / kereta / mekanik",,,,,,,,,,,,,kereta itu dibaiki oleh mekanik,"dibaiki is the di- passive of membaiki; the sentence means the car was repaired by the mechanic.",passive-voice,grammar
b2-036,B2,grammar,register,mcq,"Which sentence is written in correct formal register?","Mesyuarat itu tidak dapat diteruskan kerana ketiadaan kuorum.",true,"Correct - tidak, diteruskan and kerana are all standard formal forms.","Mesyuarat tu tak boleh sambung sebab takde orang.",false,"tu, tak, sebab and takde are all colloquial - unsuitable for formal writing.","Mesyuarat itu x dapat diteruskan sebab takde kuorum.",false,"x and takde are colloquial or texting forms, not formal Malay.","Mesyuarat tu tidak dapat diteruskan kerana ketiadaan kuorum.",false,"tu should be itu in formal register; the rest is fine.",,"Formal register uses itu, tidak, kerana and full me-/di- verbs, not colloquial tu, tak, sebab.",register-style,register
b2-037,B2,grammar,register,mcq,"A friend texts you. Which reply sounds naturally colloquial?","Aku tak dapat datang la, ada hal sikit.",true,"Correct - aku, tak, la and ada hal are natural casual speech.","Saya tidak dapat hadir kerana ada urusan.",false,"This is correct but formal - it sounds stiff in a casual text.","Patik tidak dapat hadir, tuanku.",false,"patik and tuanku belong to royal court language, not a chat with a friend.","Beta tidak berkenan hadir.",false,"beta is the royal first person; it is not used in casual chat.",,"Casual register uses aku, tak, la; patik and beta belong to royal language.",register-style,register
b2-038,B2,grammar,register,mcq,"When addressing royalty, the appropriate first-person pronoun is...","patik",true,"Correct - patik is the humble first person used when speaking to royalty.","aku",false,"aku is informal and would be disrespectful to royalty.","saya",false,"saya is neutral and polite but not the special royal-address pronoun.","beta",false,"beta is used BY royalty to refer to themselves, not by a commoner addressing them.",,"patik is used by a commoner addressing royalty; beta is used by the royal speaker.",register-style,register
b2-039,B2,grammar,register,mcq,"Which sentence contains a register mismatch?","Dalam laporan rasmi itu, dia tulis yang projek tu dah siap.",true,"Mistake - a formal report should not mix in colloquial tulis, tu and dah.","Laporan rasmi itu menyatakan bahawa projek tersebut telah siap.",false,"This is consistently formal - no mismatch.","Eh, projek tu dah siap ke belum?",false,"This is consistently casual - no mismatch.","Projek tersebut telah disiapkan mengikut jadual.",false,"This is consistently formal - no mismatch.",,"Mixing colloquial tulis, tu and dah into a formal report is a register clash.",register-style,register
b2-040,B2,grammar,register,text,"Rewrite this colloquial sentence in formal Malay: Saya tak tau dia nak datang ke tak.",,,,,,,,,,,,,saya tidak tahu sama ada dia hendak datang atau tidak,"Formal Malay uses tidak, tahu, hendak and the construction sama ada... atau tidak.",register-style,register
b2-041,B2,grammar,register,fill_blank,"Fill with the formal standard equivalent of the colloquial sebab: Kelas dibatalkan ___ guru sakit.",,,,,,,,,,,,,kerana,"In formal register, kerana replaces the colloquial sebab for because.",register-style,register
b2-042,B2,grammar,register,word_order,"Arrange into a formal sentence: tersebut / dimaklumkan / keputusan / kemudian / akan",,,,,,,,,,,,,keputusan tersebut akan dimaklumkan kemudian,"Formal register uses tersebut and the di- passive dimaklumkan; the decision will be announced later.",register-style,register
b2-043,B2,grammar,register,mcq,"Which word is the formal counterpart of the colloquial bagi tau?","memberitahu",true,"Correct - memberitahu is the standard verb for to tell or inform.","bagi tau",false,"bagi tau is itself the colloquial form, not the formal one.","bgtau",false,"bgtau is a texting abbreviation, even less formal.","cakap kasi tau",false,"This is colloquial and not a standard verb.",,"The colloquial bagi tau corresponds to the formal verb memberitahu.",register-style,register
b2-044,B2,grammar,particles,mcq,"Which sentence uses the question particle -kah correctly?","Benarkah dia sudah pergi?",true,"Correct - -kah attaches to the fronted word benar to form a yes-no question.","Benar dia sudah pergikah?",false,"-kah should attach to the fronted focus word, here benar, not to pergi.","Benarlah dia sudah pergi?",false,"-lah marks emphasis, not a question.","Benarpun dia sudah pergi?",false,"pun means too or even; it does not form a question.",,"-kah attaches to the fronted focus word: Benarkah...? means Is it true that...?",particles,grammar
b2-045,B2,grammar,particles,mcq,"In Dia pun tidak datang, what does pun express here?","not even - it adds surprising inclusion",true,"Correct - pun with a negative gives the sense not even he came.","a polite request",false,"pun does not soften requests; that is closer to -lah.","a yes-no question",false,"questions use -kah, not pun.","possession",false,"possession is shown by -nya or a following pronoun.",,"With a negative, pun means not even: Dia pun tidak datang - Not even he came.",particles,grammar
b2-046,B2,grammar,particles,mcq,"Which sentence contains a mistake in particle use?","Siapakah-lah yang datang tadi?",true,"Mistake - you cannot stack -kah and -lah on the same word; use Siapakah yang datang tadi?","Pergilah dulu, saya menyusul kemudian.",false,"This is correct - -lah softens the command.","Adakah kamu sudah makan?",false,"This is correct - -kah forms the yes-no question on ada.","Dia pun setuju dengan cadangan itu.",false,"This is correct - pun means too here.",,"-kah and -lah cannot be stacked on one word; choose one according to meaning.",particles,grammar
b2-047,B2,grammar,particles,fill_blank,"Add the particle that turns this into a polite, softened command: Cuba___ baca ayat ini sekali lagi.",,,,,,,,,,,,,lah,"-lah softens the command: Cubalah baca... means Do try reading...",particles,grammar
b2-048,B2,grammar,particles,word_order,"Arrange into a yes-no question: makan / kamu / sudah / adakah",,,,,,,,,,,,,adakah kamu sudah makan,"-kah on ada forms the question word adakah; the sentence asks Have you eaten?",particles,grammar
b2-049,B2,affix,nominalisation,mcq,"Choose the correct circumfix: the noun meaning the agreement reached between two parties, from setuju, is ___.","persetujuan",true,"Correct - per-...-an builds persetujuan, the mutual agreement reached between parties.","kesetujuan",false,"kesetujuan is not standard; ke-...-an does not form this noun from setuju.","penyetujuan",false,"penyetujuan is not a standard word; the process of approving is persetujuan or kelulusan.","setujuan",false,"setujuan is not a word; a circumfix is needed, not a bare suffix.",,"per-...-an forms persetujuan - a mutual agreement reached between two sides.",nominalisation,affix
b2-050,B2,affix,nominalisation,mcq,"From tani (to farm), the system or activity of farming as a whole is ___, while a single farmer is ___.","pertanian; petani",true,"Correct - per-...-an gives the activity pertanian (agriculture); peN- gives the doer petani (farmer).","petani; pertanian",false,"This reverses them; petani is the doer, pertanian is the activity.","ketanian; petani",false,"ketanian is not a standard word; the activity noun is pertanian.","pertanian; pertani",false,"pertani is not a word; a farmer is petani.",,"per-...-an names a field or activity (pertanian); peN- names the doer (petani).",nominalisation,affix
b2-051,B2,affix,nominalisation,mcq,"Which sentence uses the right circumfix for the meaning the difficulty he faced?","Kesukaran yang dihadapinya amat besar.",true,"Correct - ke-...-an on sukar gives the abstract noun kesukaran (difficulty).","Persukaran yang dihadapinya amat besar.",false,"persukaran is not a standard word; the abstract noun is kesukaran.","Pesukaran yang dihadapinya amat besar.",false,"pesukaran is not a word; ke-...-an is needed here.","Sukaran yang dihadapinya amat besar.",false,"sukaran is not a word; a circumfix is required, not a bare suffix.",,"ke-...-an forms abstract nouns of state from adjectives: sukar to kesukaran (difficulty).",nominalisation,affix
b2-052,B2,affix,nominalisation,fill_blank,"Form the right circumfix noun from padu meaning unity: ___ rakyat menjamin keamanan negara.",,,,,,,,,,,,,perpaduan,"From padu, per-...-an gives perpaduan (unity).",nominalisation,affix
b2-053,B2,affix,nominalisation,text,"Translate to Malay using ke-...-an and pe-...-an: The cleanliness of the city depends on good rubbish management.",,,,,,,,,,,,,kebersihan bandar itu bergantung pada pengurusan sampah yang baik|kebersihan bandar bergantung kepada pengurusan sampah yang baik,"kebersihan (cleanliness) uses ke-...-an; pengurusan (management) uses peN-...-an.",nominalisation,affix
b2-054,B2,affix,nominalisation,word_order,"Arrange: kemerdekaan / negara / perjuangan / hasil / itu / ialah",,,,,,,,,,,,,kemerdekaan negara itu ialah hasil perjuangan,"kemerdekaan (independence) uses ke-...-an from merdeka; perjuangan (struggle) uses per-...-an from juang.",nominalisation,affix
b2-055,B2,grammar,passive-voice,mcq,"Transform to the di- passive: Mereka akan membincangkan isu itu esok.","Isu itu akan dibincangkan oleh mereka esok.",true,"Correct - akan stays before the di- verb dibincangkan, and oleh marks the agent.","Isu itu dibincangkan akan oleh mereka esok.",false,"akan must precede the verb, not follow it.","Isu itu akan membincangkan oleh mereka esok.",false,"membincangkan is the active verb; a passive needs dibincangkan.","Mereka akan dibincangkan isu itu esok.",false,"This puts the agent in the subject slot - the roles are wrong.",,"In a di- passive the aspect marker akan stays before the verb: akan dibincangkan.",passive-voice,grammar
b2-056,B2,grammar,passive-voice,mcq,"Transform to the pronoun-fronted passive: Saya sudah menghantar e-mel itu.","E-mel itu sudah saya hantar.",true,"Correct - pronoun agent, so me- is dropped and the aspect word sudah stays before the pronoun.","E-mel itu sudah dihantar saya.",false,"With a pronoun agent, the natural form is the pronoun-fronted passive, not di- + bare pronoun.","E-mel itu saya sudah hantar.",false,"sudah belongs before the pronoun-verb unit: sudah saya hantar.","Saya sudah e-mel itu hantar.",false,"This word order is ungrammatical.",,"Pronoun-fronted passive: object + aspect + pronoun + bare verb (E-mel itu sudah saya hantar).",passive-voice,grammar
b2-057,B2,grammar,passive-voice,mcq,"Which sentence is correct when the agent is a first or second person pronoun?","Surat itu akan saya balas esok.",true,"Correct - a pronoun agent triggers the pronoun-fronted passive; me- is dropped.","Surat itu akan dibalas saya esok.",false,"di- + bare pronoun agent is dispreferred; use the pronoun-fronted passive.","Surat itu saya akan balas esok.",false,"akan must come before the pronoun-verb unit: akan saya balas.","Surat itu akan membalas saya esok.",false,"This is active and reverses the meaning.",,"With a pronoun agent, Malay prefers the pronoun-fronted passive over di- + bare pronoun.",passive-voice,grammar
b2-058,B2,grammar,passive-voice,mcq,"Which sentence contains a passive-voice mistake?","Tingkap itu kena pecahkan oleh budak nakal.",true,"Mistake - the kena passive does not take oleh; say kena pecahkan budak nakal or use the di- passive dipecahkan oleh.","Projek itu telah disiapkan oleh pasukan kami.",false,"This is a correct di- passive with telah and oleh.","Hadiah itu akan saya berikan kepadanya.",false,"This is a correct pronoun-fronted passive with akan.","Pokok itu ditanam oleh datuk lima tahun lalu.",false,"This is a correct di- passive with oleh.",,"The kena passive normally does not use oleh; oleh belongs with the di- passive.",passive-voice,grammar
b2-059,B2,grammar,passive-voice,mcq,"Choose the best passive for a formal report: The new policy was approved by the board.","Dasar baharu itu telah diluluskan oleh lembaga.",true,"Correct - the di- passive with telah and oleh is the neutral, formal choice.","Dasar baharu tu dah lulus oleh lembaga.",false,"tu and dah are colloquial; lulus without di- is not the passive verb.","Dasar baharu itu kena lulus lembaga.",false,"kena gives an adversative, informal tone unsuitable for a formal report.","Lembaga itu telah meluluskan oleh dasar baharu.",false,"meluluskan is active and oleh cannot follow it - the structure is wrong.",,"Formal reports use the di- passive: telah diluluskan oleh + agent.",passive-voice,grammar
b2-060,B2,grammar,passive-voice,text,"Translate to Malay using the di- passive: This bridge has not yet been repaired by the authorities.",,,,,,,,,,,,,jambatan ini belum dibaiki oleh pihak berkuasa,"belum (not yet) precedes the di- passive verb dibaiki; oleh marks the agent pihak berkuasa.",passive-voice,grammar
b2-061,B2,grammar,passive-voice,text,"Transform this active sentence into the passive: Polis menahan suspek itu pagi tadi.",,,,,,,,,,,,,suspek itu ditahan oleh polis pagi tadi,"The active menahan becomes the di- passive ditahan; the object suspek itu moves to subject position.",passive-voice,grammar
b2-062,B2,grammar,passive-voice,word_order,"Arrange into a pronoun-fronted passive: kami / itu / sudah / selesaikan / tugas",,,,,,,,,,,,,tugas itu sudah kami selesaikan,"Pronoun-fronted passive: object tugas itu, then sudah, then the pronoun-verb unit kami selesaikan.",passive-voice,grammar
b2-063,B2,grammar,register,mcq,"Rewrite formally: Korang jangan lupa hantar kerja tu esok ya. Which is the best formal version?","Anda semua jangan lupa menghantar kerja itu esok.",true,"Correct - anda semua, menghantar and itu are standard formal forms.","Korang jangan lupa menghantar kerja itu esok.",false,"korang is colloquial; the formal form is anda semua or kamu semua.","Anda semua jangan lupa hantar kerja tu esok ya.",false,"hantar without me-, tu and ya remain colloquial.","Korang jangan lupa hantar kerja tu esok ya.",false,"This is still fully colloquial - nothing has been raised to formal register.",,"Formal register: anda semua for korang, menghantar for hantar, itu for tu, and drop the particle ya.",register-style,register
b2-064,B2,grammar,register,mcq,"Which sentence mixes registers incorrectly?","Pihak pengurusan ingin memaklumkan yang office akan tutup awal.",true,"Mistake - a formal notice should not mix English office; use pejabat with bahawa, not yang.","Pihak pengurusan ingin memaklumkan bahawa pejabat akan ditutup awal.",false,"This is consistently formal - no mismatch.","Eh, opis kita tutup awal hari ni la.",false,"This is consistently casual - no register clash.","Pejabat akan ditutup lebih awal pada hari ini.",false,"This is consistently formal - no mismatch.",,"In a formal notice, avoid English insertions like office; use pejabat and the conjunction bahawa.",register-style,register
b2-065,B2,grammar,register,mcq,"In a formal essay, which conjunction best replaces the colloquial tapi?","tetapi",true,"Correct - tetapi is the standard formal form of the colloquial tapi.","tapi",false,"tapi is itself the colloquial short form, not the formal one.","tp",false,"tp is a texting abbreviation, even less formal.","cuma",false,"cuma means only or just and shifts the meaning; it is not the direct equivalent.",,"The colloquial tapi corresponds to the formal conjunction tetapi (but).",register-style,register
b2-066,B2,grammar,register,mcq,"Which reply is appropriately polite and formal in a job interview?","Saya berharap dapat menyumbang kepada syarikat ini.",true,"Correct - saya, berharap and menyumbang form a polite, standard register.","Aku harap boleh contribute kat company ni.",false,"aku, kat and English contribute are too casual for an interview.","Patik amat berbesar hati menyertai syarikat ini.",false,"patik is royal-address language and is out of place in a job interview.","Saya nak masuk company ni je la.",false,"nak, company, je and la are colloquial and sound flippant.",,"A job interview calls for polite standard Malay: saya, berharap, menyumbang - not royal patik nor casual aku.",register-style,register
b2-067,B2,grammar,register,text,"Rewrite this formal sentence in natural colloquial Malay: Saya tidak dapat menghadiri majlis itu kerana saya sibuk.",,,,,,,,,,,,,saya tak boleh datang majlis tu sebab busy|aku tak boleh datang majlis tu sebab sibuk|saya tak dapat pergi majlis tu sebab sibuk,"Colloquial Malay uses tak, tu and sebab; menghadiri becomes plain datang or pergi.",register-style,register
b2-068,B2,grammar,register,fill_blank,"Fill with the formal verb replacing the colloquial bagi in: Sila ___ jawapan anda kepada panel.",,,,,,,,,,,,,kemukakan,"In formal register kemukakan (to submit or put forward) replaces the colloquial bagi.",register-style,register
b2-069,B2,grammar,particles,mcq,"Which sentence stacks particles incorrectly?","Kenapakah pula dia tak datangpun?",true,"Mistake - tak datangpun wrongly fuses pun to a verb after negation; use tidak datang pun, and avoid overloading the clause with kah, pula and pun.","Mengapakah dia tidak hadir?",false,"This is correct - a single -kah question particle.","Dia pun tidak hadir hari ini.",false,"This is correct - pun stands alone with the negative.","Datanglah ke rumah saya nanti.",false,"This is correct - a single -lah on the command.",,"Particles like -kah, pun and pula should not be over-stacked; pun is written as a separate word.",particles,grammar
b2-070,B2,grammar,particles,mcq,"What nuance does pula add in Dia pula yang marah?","it expresses contrast or an unexpected turn",true,"Correct - pula marks a contrast or a surprising switch: now it is he who is angry.","it forms a yes-no question",false,"questions use -kah, not pula.","it negates the verb",false,"negation uses tidak or bukan.","it marks the past tense",false,"Malay has no tense and pula does not mark it.",,"pula signals contrast or an unexpected turn - and now he is the one who is angry.",particles,grammar
b2-071,B2,grammar,particles,mcq,"Which sentence uses the particle juga most naturally?","Saya juga ingin menyertai program itu.",true,"Correct - juga means also or too and follows the subject naturally here.","Juga saya ingin menyertai program itu.",false,"juga does not begin a sentence; it follows the element it includes.","Saya ingin juga menyertai program itu juga.",false,"juga should not be doubled in one clause.","Saya ingin menyertai juga program itu.",false,"juga is misplaced; it should follow the subject or the whole predicate, not split the verb phrase.",,"juga (also, too) normally follows the subject or the predicate it adds to.",particles,grammar
